name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,Effective Cash,Net Cash,Earnings Link
Anaplan,PLAN,,7/31/18,,41%,72%,-23%,18%,-26%,,2008,2018,123%,0.6,0.6,0.4,27.4,1963401.6,,,202247,146,21%,19%,67%,$231 ,$198 ,45%,,,-34%,$430 ,$164 ,$199 ,,$86 ,$86 ,[object Object]
DocuSign,DOCU,,1/31/18,,37%,79%,7%,44%,19%,,2003,2018,,0.5,1,0.4,28.5,,3483.3,,1483,149,16%,17%,50%,$595 ,$549 ,39%,,,-4%,"$1,197 ",$433 ,$518 ,36%,$256 ,$256 ,[object Object]
Pluralsight,PS,,3/31/18,,33%,70%,-20%,14%,-26%,,2004,2018,,0.5,0.3,0.3,36.8,,90528.6,,,102,26%,23%,59%,$198 ,,,,,-39%,$394 ,$148 ,$179 ,,,,[object Object]
Domo,DOMO,,4/30/18,,32%,64%,-134%,-103%,-121%,,2010,2018,105%,0.3,0.4,0.2,56,385821.4,287575.3,1.3,66499,124,40%,9%,83%,$127 ,$106 ,39%,64%,49%,-135%,$188 ,$96 ,$116 ,41%,$71 ,$71 ,[object Object]
Dropbox,DBX,,12/31/17,,28%,70%,28%,56%,19%,122%,2007,2018,,1.1,1,0.7,16.1,,,,,270,34%,14%,34%,"$1,222 ",,,,,-12%,"$1,888 ",$952 ,"$1,106 ",31%,$430 ,$255 ,[object Object]
Avalara,AVLR,,3/31/18,,25%,71%,-12%,13%,-28%,,1999,2018,109%,0.3,0.4,0.2,48.4,194186.6,137600,1.4,29768,124,21%,15%,61%,$245 ,$231 ,26%,97%,26%,-25%,$468 ,$195 ,$225 ,27%,$12 ,$9 ,[object Object]
Survey Monkey,SVMK,,6/30/18,,17%,72%,12%,29%,15%,,1999,2018,,0.4,1,0.3,46.2,,2.9,,,224,26%,21%,32%,$250 ,,,,,-7%,$378 ,$214 ,$233 ,,$43 ,($274),[object Object]
SolarWinds,SWI,,9/30/18,,13%,71%,30%,43%,26%,,1999,2018,,0.7,0.8,0.5,23.3,,,,,351,11%,9%,27%,$853 ,$119 ,14%,30%,42%,16%,"$1,040 ",$756 ,$810 ,19%,$278 ,"($1,958)",[object Object]
Zoom Video,ZM,,1/31/19,,108%,82%,7%,114%,5%,127%,2011,2019,140%,1.4,1.2,1.1,10.7,127586.3,,,8326,246,10%,14%,52%,$423 ,$423 ,108%,,,5%,$836 ,$203 ,$330 ,119%,$176 ,$176 ,[object Object]
Crowdstrike,CRWD,,4/30/19,,103%,70%,-22%,81%,-17%,,2011,2019,120%,1.1,1.3,0.8,15.2,532410.8,90861.9,5.9,59621,198,25%,12%,59%,$384 ,$182 ,114%,,,-27%,$664 ,$189 ,$298 ,,$175 ,$175 ,[object Object]
Datadog,DDOG,,6/30/19,,82%,75%,-5%,77%,-4%,,2010,2019,146%,1.4,1.8,1.1,11.3,674607.2,,,37727,246,29%,7%,43%,$332 ,$332 ,82%,76%,109%,-5%,$532 ,$182 ,$265 ,83%,$52 ,$52 ,[object Object]
Slack,WORK,,4/30/19,,67%,86%,-26%,41%,-25%,,2009,2019,138%,1,0.7,0.9,14,82508.7,9969,8.3,5673,252,38%,27%,50%,$539 ,$539 ,67%,74%,89%,-29%,$777 ,$323 ,$454 ,76%,$792 ,$792 ,[object Object]
