name,ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF %,Efficiency,EV / 2020 Revenue,EV / 2021 Revenue,Quarter FCF %,LTM Free Cash Flow Growth %,Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Run Rate,EV / NTM Revenue,EV / NTM Gross Profit Run Rate,Net Dollar Retention,LTM Magic Number,Quarter Magic Number,CAC Ratio,LTM Median Payback Period,Implied 5yr LTV,Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer,Run Rate/Employees ($K),R&D %,General Admin Margin,S&M %,Revenue Run Rate ($M),ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,2020 Analyst Revenue Estimates,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,EV / LTM Free Cash Flow,Enterprise Value,Effective Cash,Net Cash,Earnings Link
Everbridge,EVBG,$103.11 ,12/31/19,"$3,529 ",37%,68%,-2%,35%,13.1x,10.5x,-2%,,2002,1999,,84%,15.0x,17.1x,11.5x,13.1x,16.9x,,0.8,0.8,0.5,22.3,,126606.9,,,289,23%,22%,42%,$228 ,,,84%,43%,-18%,$261 ,$167 ,$200 ,36%,-1142.7x,"$3,428 ",$531 ,$101 ,
Zscaler,ZS,$62.80 ,1/31/20,"$8,036 ",36%,80%,5%,42%,17.2x,13.4x,-2%,-41%,2007,2018,2.3x,71%,18.9x,21.3x,14.4x,16.0x,18.0x,,0.6,0.5,0.4,26.7,,,,,245,20%,29%,61%,$405 ,,,56%,65%,-30%,$446 ,$297 ,$360 ,49%,402.7x,"$7,651 ",$384 ,$384 ,
PagerDuty,PD,$15.69 ,1/31/20,"$1,212 ",36%,86%,-4%,32%,4.2x,3.4x,0%,,2010,2019,0.4x,27%,4.7x,5.2x,3.6x,2.1x,4.2x,122%,0.5,0.5,0.4,26.8,,,,,257,30%,27%,54%,$183 ,,,76%,47%,-26%,$206 ,$135 ,$166 ,42%,-143.4x,$860 ,$351 ,$351 ,[object Object]
Salesforce.com,CRM,$134.21 ,1/31/20,"$119,040 ",35%,75%,22%,56%,5.7x,4.8x,31%,32%,1999,2004,,69%,5.9x,6.7x,4.5x,5.4x,6.1x,,0.6,0.7,0.5,25.3,,,,,510,17%,10%,48%,"$19,404 ",,,134%,26%,-1%,"$20,046 ","$14,412 ","$17,098 ",29%,30.8x,"$113,766 ","$7,947 ","$5,274 ",
The Trade Desk,TTD,$166.98 ,12/31/19,"$7,610 ",35%,,4%,38%,8.8x,7.1x,-19%,-64%,2009,2016,5.8x,53%,8.5x,11.1x,6.6x,8.8x,,,5.7,5.7,,,,,,,678,15%,19%,20%,$863 ,,,61%,56%,24%,$837 ,$641 ,$661 ,39%,306.5x,"$7,355 ",$254 ,$254 ,[object Object]
Veeva Systems,VEEV,$155.86 ,1/31/20,"$23,159 ",34%,70%,39%,73%,16.7x,13.8x,13%,44%,2007,2013,,89%,17.7x,20.0x,13.7x,15.8x,19.7x,,1.8,2.7,1.2,9.8,,,,,421,13%,12%,19%,"$1,246 ",,,137%,25%,26%,"$1,321 ",$929 ,"$1,104 ",28%,51.0x,"$22,072 ","$1,086 ","$1,086 ",
Ringcentral,RNG,$218.74 ,12/31/19,"$19,053 ",34%,74%,2%,36%,17.0x,13.8x,-7%,-39%,1999,2013,,88%,18.9x,21.2x,14.6x,17.0x,19.9x,,0.6,0.7,0.5,25.8,,,,,287,15%,16%,50%,"$1,011 ",$917 ,33%,101%,34%,-8%,"$1,123 ",$754 ,$902 ,34%,954.8x,"$19,097 ",$343 ,($44),
AppFolio,APPF,$90.67 ,12/31/19,"$3,088 ",34%,61%,4%,37%,9.7x,7.9x,9%,-57%,2006,2015,7.5x,63%,11.5x,12.1x,8.9x,9.7x,14.7x,,2.3,,1.4,8.5,,,,,255,16%,14%,21%,$269 ,,,103%,33%,0%,$319 ,$201 ,$256 ,35%,342.9x,"$3,086 ",$50 ,$2 ,[object Object]
Zendesk,ZEN,$61.70 ,12/31/19,"$6,994 ",33%,73%,4%,37%,6.7x,5.3x,7%,16%,2007,2014,,66%,7.6x,8.6x,5.9x,6.7x,8.1x,116%,0.6,0.8,0.5,26.4,,30091.8,,,262,16%,15%,48%,$919 ,,,81%,41%,-14%,"$1,049 ",$688 ,$816 ,36%,241.2x,"$6,994 ",$483 ,,[object Object]
Rapid7,RPD,$37.13 ,12/31/19,"$1,864 ",33%,72%,-11%,22%,4.5x,3.7x,4%,,2000,2015,1.4x,57%,4.9x,5.6x,3.9x,4.5x,5.3x,,0.6,0.9,0.4,27.6,,100513.9,,18773,229,24%,14%,49%,$366 ,$169 ,35%,174%,19%,-13%,$400 ,$275 ,$326 ,34%,-50.3x,"$1,810 ",$239 ,$54 ,
